2.0000e-03	8.7675e+02	-6.7624e+02	9.9671e+02	0.0000e+00
1.0002e+01	8.7674e+02	-6.4004e+02	9.7347e+02	0.0000e+00
2.0002e+01	8.7671e+02	-5.2889e+02	9.0211e+02	0.0000e+00
3.0002e+01	8.7676e+02	-3.2993e+02	7.7445e+02	0.0000e+00
4.0002e+01	8.7686e+02	-1.4777e+02	6.5761e+02	0.0000e+00
5.0002e+01	8.7681e+02	-1.0868e+02	6.3248e+02	0.0000e+00
6.0002e+01	8.7676e+02	-1.5381e+02	6.6142e+02	0.0000e+00
7.0002e+01	8.7677e+02	-2.0333e+02	6.9320e+02	0.0000e+00
8.0002e+01	8.7677e+02	-2.4596e+02	7.2057e+02	0.0000e+00
9.0002e+01	8.7678e+02	-2.8138e+02	7.4330e+02	0.0000e+00
1.0000e+02	8.7678e+02	-3.1224e+02	7.6311e+02	0.0000e+00
1.1000e+02	8.7677e+02	-3.3638e+02	7.7860e+02	0.0000e+00
1.2000e+02	8.7678e+02	-3.4054e+02	7.8127e+02	0.0000e+00
1.3000e+02	8.7679e+02	-3.2597e+02	7.7193e+02	0.0000e+00
1.4000e+02	8.7680e+02	-3.1237e+02	7.6321e+02	0.0000e+00
1.5000e+02	8.7680e+02	-3.1653e+02	7.6588e+02	0.0000e+00
1.6000e+02	8.7679e+02	-3.2888e+02	7.7380e+02	0.0000e+00
1.7000e+02	8.7679e+02	-3.3788e+02	7.7957e+02	0.0000e+00
1.8000e+02	8.7680e+02	-3.4076e+02	7.8143e+02	0.0000e+00
1.9000e+02	8.7680e+02	-3.3935e+02	7.8052e+02	0.0000e+00
2.0000e+02	8.7680e+02	-3.3661e+02	7.7876e+02	0.0000e+00
2.1000e+02	8.7680e+02	-3.3323e+02	7.7659e+02	0.0000e+00
2.2000e+02	8.7680e+02	-3.2800e+02	7.7324e+02	0.0000e+00
2.3000e+02	8.7680e+02	-3.2018e+02	7.6822e+02	0.0000e+00
2.4000e+02	8.7680e+02	-3.1126e+02	7.6250e+02	0.0000e+00
2.5000e+02	8.7680e+02	-3.0322e+02	7.5734e+02	0.0000e+00
2.6000e+02	8.7680e+02	-2.9537e+02	7.5229e+02	0.0000e+00
2.7000e+02	8.7680e+02	-2.8660e+02	7.4667e+02	0.0000e+00
2.8000e+02	8.7680e+02	-2.7751e+02	7.4084e+02	0.0000e+00
2.9000e+02	8.7680e+02	-2.6925e+02	7.3553e+02	0.0000e+00
3.0000e+02	8.7680e+02	-2.6213e+02	7.3096e+02	0.0000e+00
3.1000e+02	8.7680e+02	-2.5565e+02	7.2680e+02	0.0000e+00
3.2000e+02	8.7680e+02	-2.4918e+02	7.2265e+02	0.0000e+00
3.3000e+02	8.7680e+02	-2.4238e+02	7.1829e+02	0.0000e+00
